ID	s	d	ts	te	LLC	size	parent	parentTime	replica
----------------------------------------------------
58	0	11	20	119	0	1	-1	-1	-1
136	0	9	20	119	0	1	-1	-1	-1
203	0	9	20	119	0	1	-1	-1	-1
228	0	8	20	119	0	1	-1	-1	-1
304	0	8	20	119	0	10	-1	-1	-1
383	0	8	20	119	0	10	-1	-1	-1
406	0	8	20	119	0	10	-1	-1	-1
518	0	10	20	119	0	25	-1	-1	-1
523	0	10	20	119	0	25	-1	-1	-1
584	0	11	20	119	0	25	-1	-1	-1
659	0	10	20	119	0	25	-1	-1	-1
710	0	11	20	119	0	50	-1	-1	-1
1012	0	8	20	119	0	100	-1	-1	-1
8	6	10	20	119	2	1	14	22	0
11	6	11	20	119	2	1	14	22	0
150	6	9	20	119	2	1	14	22	0
244	6	11	20	119	2	1	14	22	0
321	6	9	20	119	2	10	14	22	0
384	6	8	20	119	2	10	14	22	0
385	6	10	20	119	2	10	14	22	0
476	6	10	20	119	2	10	14	22	0
587	6	9	20	119	2	25	14	22	0
668	6	8	20	119	2	25	14	22	0
805	6	8	20	119	2	50	14	22	0
118	0	9	21	119	0	1	-1	-1	-1
132	0	9	21	119	0	1	-1	-1	-1
207	0	10	21	119	0	1	-1	-1	-1
211	0	9	21	119	0	1	-1	-1	-1
266	0	10	21	119	0	10	-1	-1	-1
302	0	9	21	119	0	10	-1	-1	-1
421	0	10	21	119	0	10	-1	-1	-1
493	0	10	21	119	0	25	-1	-1	-1
702	0	11	21	119	0	25	-1	-1	-1
704	0	11	21	119	0	25	-1	-1	-1
706	0	8	21	119	0	50	-1	-1	-1
726	0	11	21	119	0	50	-1	-1	-1
823	0	8	21	119	0	50	-1	-1	-1
889	0	9	21	119	0	50	-1	-1	-1
930	0	9	21	119	0	100	-1	-1	-1
946	0	9	21	119	0	100	-1	-1	-1
989	0	9	21	119	0	100	-1	-1	-1
1016	0	11	21	119	0	100	-1	-1	-1
1020	0	11	21	119	0	100	-1	-1	-1
107	6	9	21	119	2	1	14	23	0
198	6	9	21	119	2	1	14	23	0
261	6	9	21	119	2	10	14	23	0
401	6	10	21	119	2	10	14	23	0
423	6	10	21	119	2	10	14	23	0
621	6	8	21	119	2	25	14	23	0
622	6	10	21	119	2	25	14	23	0
699	6	11	21	119	2	25	14	23	0
761	6	9	21	119	2	50	14	23	0
782	6	10	21	119	2	50	14	23	0
795	6	10	21	119	2	50	14	23	0
838	6	8	21	119	2	50	14	23	0
954	6	10	21	119	2	100	14	23	0
131	0	8	22	119	0	1	-1	-1	-1
245	0	11	22	119	0	10	-1	-1	-1
251	0	10	22	119	0	10	-1	-1	-1
254	0	9	22	119	0	10	-1	-1	-1
332	0	9	22	119	0	10	-1	-1	-1
339	0	11	22	119	0	10	-1	-1	-1
752	0	10	22	119	0	50	-1	-1	-1
808	0	9	22	119	0	50	-1	-1	-1
862	0	10	22	119	0	50	-1	-1	-1
873	0	9	22	119	0	50	-1	-1	-1
916	0	9	22	119	0	100	-1	-1	-1
976	0	8	22	119	0	100	-1	-1	-1
309	6	8	22	119	2	10	14	24	0
400	6	8	22	119	2	10	14	24	0
429	6	11	22	119	2	10	14	24	0
444	6	11	22	119	2	10	14	24	0
456	6	10	22	119	2	10	14	24	0
459	6	9	22	119	2	10	14	24	0
588	6	10	22	119	2	25	14	24	0
595	6	8	22	119	2	25	14	24	0
923	6	10	22	119	2	100	14	24	0
984	6	10	22	119	2	100	14	24	0
53	0	9	23	119	0	1	-1	-1	-1
90	0	8	23	119	0	1	-1	-1	-1
124	0	11	23	119	0	1	-1	-1	-1
152	0	8	23	119	0	1	-1	-1	-1
285	0	10	23	119	0	10	-1	-1	-1
301	0	8	23	119	0	10	-1	-1	-1
349	0	11	23	119	0	10	-1	-1	-1
380	0	11	23	119	0	10	-1	-1	-1
409	0	8	23	119	0	10	-1	-1	-1
603	0	11	23	119	0	25	-1	-1	-1
620	0	9	23	119	0	25	-1	-1	-1
648	0	11	23	119	0	25	-1	-1	-1
798	0	8	23	119	0	50	-1	-1	-1
903	0	11	23	119	0	50	-1	-1	-1
919	0	9	23	119	0	100	-1	-1	-1
961	0	9	23	119	0	100	-1	-1	-1
965	0	11	23	119	0	100	-1	-1	-1
981	0	8	23	119	0	100	-1	-1	-1
1006	0	9	23	119	0	100	-1	-1	-1
7	6	8	23	119	2	1	14	25	0
13	6	8	23	119	2	1	14	25	0
56	6	11	23	119	2	1	14	25	0
419	6	9	23	119	2	10	14	25	0
484	6	8	23	119	2	25	14	25	0
505	6	10	23	119	2	25	14	25	0
638	6	10	23	119	2	25	14	25	0
650	6	11	23	119	2	25	14	25	0
707	6	10	23	119	2	50	14	25	0
743	6	11	23	119	2	50	14	25	0
828	6	9	23	119	2	50	14	25	0
870	6	9	23	119	2	50	14	25	0
969	6	10	23	119	2	100	14	25	0
173	0	11	24	119	0	1	-1	-1	-1
229	0	11	24	119	0	1	-1	-1	-1
316	0	8	24	119	0	10	-1	-1	-1
568	0	10	24	119	0	25	-1	-1	-1
572	0	10	24	119	0	25	-1	-1	-1
655	0	10	24	119	0	25	-1	-1	-1
786	0	10	24	119	0	50	-1	-1	-1
819	0	9	24	119	0	50	-1	-1	-1
834	0	10	24	119	0	50	-1	-1	-1
856	0	8	24	119	0	50	-1	-1	-1
1003	0	8	24	119	0	100	-1	-1	-1
1004	0	9	24	119	0	100	-1	-1	-1
2	2	8	20	119	6	1	10	26	0
10	2	9	20	119	6	1	10	26	0
35	2	9	20	119	6	1	10	26	0
138	2	8	20	119	6	1	10	26	0
499	2	11	20	119	6	25	10	26	0
538	2	8	20	119	6	25	10	26	0
667	2	11	20	119	6	25	10	26	0
114	2	11	21	119	5	1	10	26	0
210	2	8	21	119	5	1	10	26	0
267	2	11	21	119	5	10	10	26	0
319	2	9	21	119	5	10	10	26	0
359	2	9	21	119	5	10	10	26	0
407	2	8	21	119	5	10	10	26	0
504	2	11	21	119	5	25	10	26	0
170	2	9	22	119	4	1	10	26	0
217	2	9	22	119	4	1	10	26	0
362	2	8	22	119	4	10	10	26	0
374	2	8	22	119	4	10	10	26	0
398	2	11	22	119	4	10	10	26	0
462	2	9	22	119	4	10	10	26	0
732	2	9	22	119	4	50	10	26	0
750	2	8	22	119	4	50	10	26	0
860	2	8	22	119	4	50	10	26	0
74	2	9	23	119	3	1	10	26	0
147	2	11	23	119	3	1	10	26	0
194	2	9	23	119	3	1	10	26	0
222	2	8	23	119	3	1	10	26	0
