T X Y S0 S1 S2 S3 
2 7549.8 8789.725 3 10 28 50 
3 7548.929 8794.574 3 19 27 43 
4 7523.277 8826.042 4 12 23 47 
5 7510.461 8839.952 4 12 22 41 
6 7486.439 8870.308 4 10 20 56 
7 7473.568 8887.054 3 11 26 52 
8 7460.959 8905.88 3 9 26 59 
9 7451.6 8922.036 5 12 23 42 
10 7443.266 8938.615 4 16 23 54 
11 7430.902 8966.314 3 16 25 46 
12 7418.389 9004.354 3 15 27 54 
13 7415.58 9012.071 3 10 22 50 
14 7401.726 9050.945 3 9 20 52 
15 7383.84 9094.978 3 19 20 45 
16 7376.949 9114.326 3 15 26 53 
17 7371.495 9131.672 4 18 22 45 
18 7358.133 9169.879 4 10 20 53 
19 7338.251 9223.408 3 19 21 46 
20 7329.869 9245.291 5 14 22 56 
21 7322.605 9270.143 3 8 23 40 
22 7318.54 9300.766 4 12 20 43 
23 7317.556 9324.228 4 9 21 40 
24 7317.062 9357.476 4 16 28 59 
25 7317.622 9386.987 3 14 23 41 
26 7318.999 9414.029 4 8 21 41 
27 7320.09 9447.555 5 16 24 45 
28 7321.449 9464.934 3 11 23 51 
29 7323.632 9481.08 3 10 28 46 
30 7327.379 9501.829 5 12 28 56 
31 7331.949 9521.766 5 15 28 41 
32 7335.882 9539.546 4 14 22 53 
33 7341.696 9558.561 4 16 23 54 
34 7351.082 9579.109 5 19 27 42 
35 7366.443 9604.718 4 11 28 52 
36 7400.951 9643.68 4 10 21 59 
37 7366.443 9604.718 4 13 26 53 
38 7351.082 9579.109 5 11 26 49 
39 7341.696 9558.561 3 17 20 49 
40 7335.882 9539.546 5 18 23 42 
41 7331.949 9521.766 3 10 21 47 
42 7327.379 9501.829 3 8 22 59 
43 7323.632 9481.08 3 11 22 48 
44 7321.449 9464.934 4 9 27 47 
45 7320.09 9447.555 3 8 23 55 
46 7318.999 9414.029 4 19 28 40 
47 7317.622 9386.987 4 10 29 56 
48 7317.062 9357.476 3 17 23 59 
49 7317.556 9324.228 4 8 27 46 
50 7318.54 9300.766 4 18 26 45 
51 7322.605 9270.143 4 11 23 50 
52 7329.869 9245.291 4 17 29 48 
53 7338.251 9223.408 3 19 24 54 
54 7358.133 9169.879 5 13 29 55 
55 7371.495 9131.672 4 13 29 51 
56 7376.949 9114.326 5 18 22 44 
57 7383.84 9094.978 5 18 21 42 
58 7401.726 9050.945 5 14 24 59 
59 7415.58 9012.071 5 14 23 47 
60 7418.389 9004.354 4 15 20 51 
61 7430.902 8966.314 3 15 26 51 
62 7443.266 8938.615 3 14 21 51 
63 7451.6 8922.036 5 11 29 58 
64 7460.959 8905.88 5 9 20 50 
65 7473.568 8887.054 5 12 27 53 
66 7486.439 8870.308 5 13 29 59 
67 7510.461 8839.952 5 11 27 45 
68 7523.277 8826.042 3 15 23 49 
69 7548.929 8794.574 4 14 26 50 
70 7549.8 8789.725 5 14 23 58 
71 7552.693 8776.949 3 15 20 48 
72 7549.8 8789.725 4 13 22 55 
73 7548.929 8794.574 3 18 22 46 
74 7523.277 8826.042 3 13 26 59 
75 7510.461 8839.952 4 18 27 41 
76 7486.439 8870.308 5 11 24 43 
77 7473.568 8887.054 4 15 25 45 
78 7460.959 8905.88 3 15 23 57 
79 7451.6 8922.036 4 12 25 41 
80 7443.266 8938.615 4 9 20 45 
81 7430.902 8966.314 3 8 26 41 
82 7418.389 9004.354 5 8 24 50 
83 7415.58 9012.071 3 17 26 51 
84 7401.726 9050.945 5 10 25 42 
85 7383.84 9094.978 3 15 26 45 
86 7376.949 9114.326 3 16 25 57 
87 7371.495 9131.672 5 11 20 50 
88 7358.133 9169.879 5 9 25 45 
89 7338.251 9223.408 5 9 28 57 
90 7329.869 9245.291 3 11 24 55 
91 7322.605 9270.143 4 17 22 44 
92 7318.54 9300.766 5 16 26 50 
93 7317.556 9324.228 5 10 27 59 
94 7317.062 9357.476 3 9 20 41 
95 7317.622 9386.987 3 18 21 46 
96 7318.999 9414.029 5 18 27 59 
97 7320.09 9447.555 4 10 29 52 
98 7321.449 9464.934 5 18 28 52 
99 7323.632 9481.08 4 8 29 43 
100 7327.379 9501.829 3 15 24 52 
101 7331.949 9521.766 3 12 26 46 
102 7335.882 9539.546 3 14 29 54 
103 7341.696 9558.561 5 18 23 44 
104 7351.082 9579.109 4 9 28 44 
105 7366.443 9604.718 4 12 22 42 
106 7400.951 9643.68 5 13 21 48 
107 7366.443 9604.718 5 8 29 55 
108 7351.082 9579.109 3 13 28 44 
109 7341.696 9558.561 5 11 27 41 
110 7335.882 9539.546 4 16 20 49 
111 7331.949 9521.766 5 16 25 52 
112 7327.379 9501.829 5 12 23 48 
113 7323.632 9481.08 4 10 21 43 
114 7321.449 9464.934 4 14 22 58 
115 7320.09 9447.555 3 17 29 41 
116 7318.999 9414.029 4 12 21 45 
117 7317.622 9386.987 3 18 21 47 
118 7317.062 9357.476 4 8 20 58 
119 7317.062 9357.476 5 14 29 53 
